"Permit","Api","WellName","AreaName","FieldName","PoolNames","CurrentClass","CurrentStatus","SpudDate","OperatorName","AEO","AIO","CO","DIO","ERIO","O","SIO"
192106,50883200870000,"N COOK INLET UNIT A-13","COOK INLET BASIN","NORTH COOK INLET","UNDEFINED WDSP, TERTIARY GAS","Service","Disposal injection well, Class 1","11/18/1992 12:00:00 AM","Hilcorp Alaska, LLC","AEO 4","","CO 68, CO 68 A, CO 420, CO 507, CO 606","DIO 17 1, DIO 17 2, DIO 17 3, DIO 17 4, DIO 17 6","","",""
193076,50883200900000,"SUNFISH 3","COOK INLET BASIN","NORTH COOK INLET","Unknown","Exploratory","Plugged & Abandoned","11/19/1993 12:00:00 AM","Phillips Petroleum Company","","","","","","",""
197210,50883200900100,"N COOK INLET UNIT B-02","COOK INLET BASIN","NORTH COOK INLET","TERTIARY GAS","Exploratory","Gas well, single completion","11/21/1997 12:00:00 AM","Hilcorp Alaska, LLC","","","CO 68, CO 68 A, CO 420, CO 507, CO 606","DIO 17 6","","",""
193078,50883200919500,"NORTH FORELAND ST 2XX","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Permit expired","","ARCO Alaska Inc.","","","","","","",""
197115,50883200930000,"N COOK INLET UNIT B-01","COOK INLET BASIN","NORTH COOK INLET","Unknown","Exploratory","Plugged & Abandoned","7/30/1997 12:00:00 AM","Phillips Petroleum Company","","","","","","",""
198002,50883200930100,"N COOK INLET UNIT B-01A","COOK INLET BASIN","NORTH COOK INLET","UNDEFINED WDSP, TERTIARY GAS","Development","Plugged & Abandoned","2/12/1998 12:00:00 AM","Hilcorp Alaska, LLC","AEO 4","","CO 68, CO 68 A, CO 420, CO 507, CO 606","DIO 17 1, DIO 17 2, DIO 17 3, DIO 17 4, DIO 17 6","","",""
224097,50883200930200,"N COOK INLET UNIT B-01B","COOK INLET BASIN","NORTH COOK INLET","TERTIARY GAS","Development","Gas well, single completion","9/10/2024 12:00:00 AM","Hilcorp Alaska, LLC","","","CO 68, CO 68 A, CO 420, CO 507, CO 606","DIO 17 6","","",""
198059,50883200950000,"N COOK INLET UNIT B-03","COOK INLET BASIN","NORTH COOK INLET","TERTIARY GAS","Development","Plugged & Abandoned","5/4/1998 12:00:00 AM","Hilcorp Alaska, LLC","","","CO 68, CO 68 A, CO 420, CO 507, CO 606","DIO 17 6","","",""
222048,50883200950100,"N COOK INLET UNIT B-03A","COOK INLET BASIN","NORTH COOK INLET","TERTIARY GAS","Development","Gas well, single completion","8/5/2022 12:00:00 AM","Hilcorp Alaska, LLC","","","CO 68, CO 68 A, CO 420, CO 507, CO 606","DIO 17 6","","",""
198059,50883200957000,"N COOK INLET UNIT B-03PB1","COOK INLET BASIN","NORTH COOK INLET","Unknown","Unknown","Plugged & Abandoned","","Hilcorp Alaska, LLC","","","","","","",""
208096,50883201250000,"N COOK INLET UNIT A-14","COOK INLET BASIN","NORTH COOK INLET","TERTIARY GAS","Development","Gas well, single completion","8/18/2008 12:00:00 AM","Hilcorp Alaska, LLC","","","CO 68, CO 68 A, CO 420, CO 507, CO 606","DIO 17 6","","",""
208097,50883201260000,"N COOK INLET UNIT A-15","COOK INLET BASIN","NORTH COOK INLET","TERTIARY GAS","Development","Gas well, single completion","4/6/2008 12:00:00 AM","Hilcorp Alaska, LLC","","","CO 68, CO 68 A, CO 420, CO 507, CO 606","DIO 17 6","","",""
208098,50883201270000,"N COOK INLET UNIT A-16","COOK INLET BASIN","NORTH COOK INLET","TERTIARY GAS","Development","Gas well, single completion","7/18/2008 12:00:00 AM","Hilcorp Alaska, LLC","","","CO 68, CO 68 A, CO 420, CO 507, CO 606","DIO 17 6","","",""
208098,50883201277000,"N COOK INLET UNIT A-16PB1","COOK INLET BASIN","NORTH COOK INLET","Unknown","Unknown","Plugged & Abandoned","","Hilcorp Alaska, LLC","","","","","","",""
208098,50883201277100,"N COOK INLET UNIT A-16PB2","COOK INLET BASIN","NORTH COOK INLET","Unknown","Unknown","Plugged & Abandoned","","Hilcorp Alaska, LLC","","","","","","",""
223031,50883201880000,"N COOK INLET UNIT A-17","COOK INLET BASIN","NORTH COOK INLET","TERTIARY GAS","Development","Gas well, single completion","7/20/2023 12:00:00 AM","Hilcorp Alaska, LLC","","","CO 68, CO 68 A, CO 420, CO 507, CO 606","DIO 17 6","","",""
223031,50883201887000,"N COOK INLET UNIT A-17PB1","COOK INLET BASIN","NORTH COOK INLET","Unknown","Development","Plugged & Abandoned","","Hilcorp Alaska, LLC","","","","","","",""
223033,50883201890000,"N COOK INLET UNIT A-18","COOK INLET BASIN","NORTH COOK INLET","TERTIARY GAS","Development","Gas well, single completion","7/30/2023 12:00:00 AM","Hilcorp Alaska, LLC","","","CO 68, CO 68 A, CO 420, CO 507, CO 606","DIO 17 6","","",""
223033,50883201897000,"N COOK INLET UNIT A-18PB1","COOK INLET BASIN","NORTH COOK INLET","Unknown","Development","Plugged & Abandoned","","Hilcorp Alaska, LLC","","","","","","",""
224026,50883201940000,"N COOK INLET UNIT A-19","COOK INLET BASIN","NORTH COOK INLET","TERTIARY GAS","Development","Gas well, single completion","5/29/2024 12:00:00 AM","Hilcorp Alaska, LLC","","","CO 68, CO 68 A, CO 420, CO 507, CO 606","DIO 17 6","","",""
